X,Y,FID,Name_of_Sc,Level_,Status,SchSponsor,Type1,Type2,Type3,PupilTeach,ClassrmRat,ToiletRati,No_Classrm,BoysToilet,GirlsToilet,TeachersTo,TotalToile,TotalBoys,TotalGirls,TotalEnrol,GO_KTSC_M,GOK_TSC_F,authorityM,authorityF,PTA_BOG_M,PTA_BOG_F,OthersM,OthersF,NoTeaching,NonTeachin,Province,District,Division,Location,Costituenc,Latitude,Longitude
34.65,0.19,15716,MWIKALIKHA PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,46.4,56.7,21.3,9,6,18,2,0,0,0,510,4,7,0,0,0,0,0,0,2,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.19,34.65
34.68,0.13,15717,IREMERE PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,45.6,57,35.1,8,7,6,2,0,0,0,456,3,5,0,0,1,1,0,0,1,1,WESTERN,KAKAMEGA,IKOLOMANI,SHIKUMU,IKOLOMANI,0.13,34.68
34.65,0.18,15718,MWIBELENYA PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,30.6,30.6,30.6,8,3,5,2,0,0,0,245,5,3,0,0,0,0,0,0,1,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.18,34.65
34.68,0.14,15719,LWANASA PRY SCH,PRIMARY SCHOOL,PUBLIC, , , ,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN,KAKAMEGA,IKOLOMANI,SHIKUMU,IKOLOMANI,0.14,34.68
34.63,0.19,15720,ESHIAKHONDO PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,28.6,32.1,42.8,8,3,3,1,0,0,0,257,5,3,0,0,1,0,0,0,1,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.19,34.63
34.7,0.11,15721,HAVUYIYA PRY SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,39.8,43.5,25.2,11,8,11,2,0,0,0,478,5,6,0,0,0,1,0,0,2,1,WESTERN,VIHIGA,SABATIA,CHAVAKALI,SABATIA,0.11,34.7
34.63,0.2,15722,MULUFU PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,25.8,25.8,58,9,2,2,0,0,0,0,232,6,2,0,0,1,0,0,0,1,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.2,34.63
34.73,0.12,15723,WALODEYA PRY SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY & BOARDING,INTEGRATED,45.4,48.8,79.4,13,4,4,1,0,0,0,635,8,6,0,0,0,0,0,0,2,1,WESTERN,VIHIGA,SABATIA,CHAVAKALI,SABATIA,0.12,34.73
34.63,0.16,15724,ELUKARI PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,35.7,47.6,38.9,9,4,7,2,0,0,0,428,5,4,0,0,2,1,0,0,2,1,WESTERN,BUTERE/MUMIAS,KHWISERO,NORTH KISA,KHWISERO,0.16,34.63
34.66,0.02,15725,KITUMBA PRIMARY,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,36.9,31.2,25.4,13,8,8,2,0,0,0,406,4,5,0,0,1,1,0,0,1,2,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0.02,34.66
34.65,0.02,15726,LYAMAGALE FRIENDS PRIMARY,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,25.3,25.3,16.9,10,7,8,4,0,0,0,253,4,4,0,0,1,1,0,0,1,1,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0.02,34.65
34.65,0.01,15727,KERONGO PRIMARY,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,30,40,21.2,9,11,6,2,0,0,0,360,7,3,0,0,2,0,0,0,1,1,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0.01,34.65
34.63,0,15728,MUSUNGUTI PRIMARY,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,61.8,38.6,23.8,8,6,7,2,0,0,0,309,2,1,0,0,1,1,0,0,1,1,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0,34.63
34.65,0,15729,KISINGIRU PRIMARY,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,35.1,48.3,64.3,8,3,3,1,0,0,0,386,5,3,0,0,3,0,0,0,1,2,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0,34.65
34.4,0.52,15730,MWENGE PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,47.6,59.5,43.3,8,5,6,2,0,0,0,476,4,3,0,0,3,0,0,0,1,1,WESTERN,BUSIA,NAMBALE,BUKHAYO EAST,NAMBALE,0.52,34.4
34.66,0.04,15731,MAHANGA PRIMARY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT,MIXED,DAY ONLY,ORDINARY,40.5,47.8,17,11,9,22,2,0,0,0,526,4,6,0,0,2,1,0,0,1,1,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0.04,34.66
34.66,0.04,15732,LIGHT AND SALT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.7,17.4,26.2,9,3,3,2,0,0,0,157,4,6,0,0,0,0,0,0,3,0,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0.04,34.66
34.39,0.51,15733,KHAYO PRI,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,82.4,73.2,82.4,9,4,4,2,0,0,0,659,5,3,0,0,0,0,0,0,2,1,WESTERN,BUSIA,NAMBALE,BUKHAYO EAST,NAMBALE,0.51,34.39
34.57,0.6,15734,BARAKA ACK PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,5.3,5.3,8,3,1,1,1,0,0,0,16,0,0,0,0,0,3,0,0,0,1,WESTERN,BUNGOMA,CENTRAL,SIRARE,SIRISIA,0.6,34.57
34.66,0.03,15735,BABY SHINES ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.5,2.5,5,4,1,1,1,0,0,0,10,0,0,0,0,0,0,0,4,0,1,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0.03,34.66
34.39,0.53,15736,MADIBO PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,49.1,52.6,245.3,14,1,2,1,0,0,0,736,10,2,0,0,3,0,0,0,1,1,WESTERN,BUSIA,NAMBALE,BUKHAYO EAST,NAMBALE,0.53,34.39
34.57,0.6,15737,SIKATA RC PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,62.3,51,40.1,11,6,8,0,0,0,0,561,4,5,0,0,0,0,0,0,2,1,WESTERN,BUNGOMA,CENTRAL,SIRARE,SIRISIA,0.6,34.57
34.68,0.02,15738,CHAMBALE PRIMARY,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,INTEGRATED,34.2,28.5,13.2,12,15,11,2,0,0,0,342,5,3,0,0,1,1,0,0,1,2,WESTERN,VIHIGA,VIHIGA,MUNGOMA,VIHIGA,0.02,34.68
